ID,month,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,Crop,class
ID_TD7su6_Jan,Jan,2674.5144,2440.7336,2287.9272,2107.929,2277.4155,3161.136,3602.353,3439.371,3876.053,1381.6317,2887.9753,2002.1937,Rubber,3
ID_F5tDRL_Jan,Jan,3353.4067,3246.2795,3189.7505,3186.4214,3383.2942,4303.469,4826.7837,4607.5625,5222.957,1650.7981,4476.0015,3253.338,Rubber,3
ID_8mbQmt_Jan,Jan,2623.9019,2335.9526,2198.3674,1932.9016,2203.3914,3459.9639,4058.458,3868.323,4444.833,1426.7412,2984.052,1913.1173,Palm,2
ID_Yiu8Q1_Jan,Jan,2852.17,2543.16,2365.6316,2177.9492,2285.7278,3021.0845,3392.7979,3154.3242,3590.6802,1353.0676,2504.6824,1868.1726,Palm,2
ID_5GeXcl_Jan,Jan,2869.1135,2587.5945,2434.1372,2311.4075,2431.1912,3085.231,3434.3484,3183.8193,3648.6301,1389.0184,2825.1018,2162.4182,Rubber,3
ID_8F8ZPP_Jan,Jan,2449.0034,2156.1504,1999.8505,1763.4191,1997.3649,2997.2864,3455.9417,3309.356,3761.7554,1363.3702,2685.5881,1743.03,Rubber,3
ID_MVJYXa_Jan,Jan,2456.3704,2180.9927,2008.0211,1779.9769,1931.6417,2794.454,3213.3042,3050.4778,3428.7317,1336.022,2354.6455,1619.5029,Rubber,3
ID_RedVm0_Jan,Jan,2882.2864,2605.4617,2468.2764,2305.9895,2477.863,3469.474,3997.1235,3774.649,4321.0254,1428.3826,3188.4414,2263.8027,Palm,2
ID_iUM0Ws_Jan,Jan,2698.0208,2428.6782,2289.7004,2114.097,2282.052,3081.8635,3477.1406,3260.451,3716.426,1390.2268,2735.885,1998.5529,Rubber,3
ID_9WxxHp_Jan,Jan,3001.8193,2750.5947,2629.0835,2508.632,2670.9727,3641.7734,4170.513,3931.1216,4503.9287,1464.1315,3432.4937,2499.7024,Palm,2
ID_SSupeH_Jan,Jan,2868.243,2625.3286,2499.1973,2341.519,2531.6562,3525.7773,4033.8909,3827.236,4353.1475,1505.6436,3223.449,2270.4026,Rubber,3
ID_vp785H_Jan,Jan,2621.6877,2315.816,2137.7646,1907.5452,2056.3296,2907.4087,3319.842,3128.4006,3536.465,1331.1165,2400.475,1703.7932,Rubber,3
ID_lIOupt_Jan,Jan,2789.673,2550.6182,2421.7832,2250.1472,2461.9155,3466.4863,3970.4915,3794.222,4304.186,1460.1807,3288.2737,2294.7747,Rubber,3
ID_DRL8kW_Jan,Jan,3222.0347,2988.6577,2876.7024,2849.2517,2940.5266,3643.8354,4056.358,3786.373,4312.3916,1508.5952,3524.843,2782.8025,Palm,2
ID_bmsWvy_Jan,Jan,2658.3752,2393.457,2214.1934,1996.7655,2147.2048,2930.4333,3319.251,3155.5159,3577.7065,1318.9889,2548.2817,1778.4622,Rubber,3
ID_vSZHw5_Jan,Jan,3527.908,3480.3809,3393.2397,3444.8787,3509.878,4169.671,4554.5522,4367.569,4811.6436,1618.3959,4077.0957,3173.52,Rubber,3
ID_k0v65v_Jan,Jan,2981.8794,2685.8801,2516.574,2387.4275,2458.6694,3058.7537,3395.474,3155.4836,3577.576,1367.7605,2696.772,2126.754,Palm,2
ID_0hFkvN_Jan,Jan,2543.1123,2251.8262,2103.6921,1876.7324,2112.1826,3070.5095,3532.045,3350.08,3847.1392,1366.8558,2810.3137,1851.0542,Rubber,3
ID_WESYGf_Jan,Jan,4267.083,4221.923,4239.041,4492.614,4552.93,5248.778,5739.042,5347.341,6097.8115,1844.5618,5170.8706,4122.877,Palm,2
ID_aOqgPL_Jan,Jan,3447.1443,3320.1172,3273.79,3287.43,3457.8975,4500.9233,5087.934,4823.457,5496.662,1651.6459,4446.5723,3296.9363,Palm,2
ID_abekMT_Jan,Jan,2480.9436,2176.713,1964.2253,1739.198,1843.1783,2427.637,2696.3484,2544.2583,2830.7483,1243.3379,1969.486,1441.3552,Rubber,3
ID_KOQOQA_Jan,Jan,4450.442,4436.4185,4510.9194,4829.7715,4944.929,5744.405,6291.251,5930.6943,6723.417,2027.3091,5919.529,4613.81,Rubber,3
ID_2iGgzO_Jan,Jan,2451.6248,2155.4824,1985.223,1749.7874,1945.3337,2908.0012,3359.3318,3192.5764,3617.7485,1330.597,2494.5613,1661.7047,Rubber,3
ID_SZNrmO_Jan,Jan,2791.9119,2517.1958,2359.5464,2165.079,2312.022,3223.334,3699.7131,3495.9385,3980.735,1375.5782,2854.9507,2004.065,Rubber,3
ID_M2DJNc_Jan,Jan,2589.2112,2277.8875,2093.7412,1842.0123,2006.7274,2874.6785,3299.6643,3117.802,3543.9634,1314.729,2397.9905,1638.582,Rubber,3
ID_aZQJK3_Jan,Jan,2645.7866,2363.4448,2230.9573,1994.8193,2249.719,3398.3296,3951.8193,3759.7017,4318.081,1417.5605,3036.2515,2016.8047,Rubber,3
ID_LxL7g8_Jan,Jan,3948.2917,3869.236,3867.0454,4060.5076,4142.8716,4892.8022,5393.93,5040.8647,5764.4097,1737.5656,5129.612,4111.3984,Rubber,3
ID_QbYj7g_Jan,Jan,2953.592,2724.0818,2594.487,2480.614,2618.0042,3507.444,3986.8855,3770.521,4278.178,1468.183,3359.1343,2481.507,Palm,2
ID_xMZz4v_Jan,Jan,2603.5598,2318.241,2168.1626,1951.6548,2150.263,3143.3518,3658.2695,3479.596,3975.4595,1372.0812,2922.1895,1916.7281,Rubber,3
ID_9CHKck_Jan,Jan,3230.438,3075.751,2962.018,2900.428,2978.6133,3694.3633,4088.683,3905.1487,4346.0273,1503.2441,3588.7998,2685.0195,Rubber,3
ID_Bm3VTW_Jan,Jan,3320.5745,3150.3433,3100.7644,3142.5176,3310.774,4187.3345,4687.7114,4421.218,5052.99,1613.9043,4461.6553,3387.5693,Rubber,3
ID_bi25qY_Jan,Jan,2570.7578,2285.5413,2121.9497,1918.5767,2095.7654,2894.5564,3281.0442,3140.354,3528.6777,1403.9177,2682.5298,1839.6335,Rubber,3
ID_T4HaP6_Jan,Jan,2948.7026,2659.3342,2556.6506,2451.5278,2661.4644,3681.3184,4213.999,3965.7761,4570.3857,1503.1168,3560.931,2484.546,Rubber,3
ID_tKRoWo_Jan,Jan,2484.3967,2184.778,2005.0996,1762.1672,1946.9377,2856.3137,3282.3726,3119.5251,3532.2256,1322.88,2442.6616,1632.0361,Rubber,3
ID_wR1peh_Jan,Jan,2485.7385,2183.4768,1976.4652,1750.6593,1869.0481,2498.7644,2789.1533,2637.1885,2943.669,1255.6829,2056.602,1480.8254,Rubber,3
ID_wReGjO_Jan,Jan,2630.99,2351.1692,2208.2517,1992.8927,2230.8032,3269.787,3781.5867,3607.0093,4146.7715,1386.7886,3031.178,2000.4775,Rubber,3
ID_nuIE1l_Jan,Jan,2452.2979,2171.5923,2027.8612,1785.2715,1978.2489,2978.4246,3463.7422,3289.1794,3743.6445,1330.0222,2407.766,1615.2601,Rubber,3
ID_BmajXs_Jan,Jan,4362.701,4348.0137,4335.718,4590.084,4566.618,5180.0317,5659.495,5303.933,6006.001,1695.3776,5588.7017,4606.7183,Palm,2
ID_ZesUIb_Jan,Jan,3168.2239,2921.5657,2802.9988,2731.1738,2847.0442,3641.022,4092.6196,3832.799,4380.236,1477.1757,3466.4224,2652.5269,Palm,2
ID_AsXdKU_Jan,Jan,2603.3357,2306.0515,2157.2058,1937.9243,2151.3738,3116.4978,3572.265,3389.7998,3856.0105,1380.2214,2738.638,1852.2407,Rubber,3
ID_bHjvEm_Jan,Jan,3725.2239,3558.3787,3541.0193,3658.9312,3800.691,4669.2554,5195.082,4868.4683,5577.2124,1738.521,4696.533,3536.6587,Rubber,3
ID_cLC7ar_Jan,Jan,2984.5352,2740.3625,2628.9941,2530.808,2719.6895,3592.7131,4049.467,3803.945,4353.997,1526.108,3381.6235,2493.481,Rubber,3
ID_PIXQjl_Jan,Jan,2632.027,2372.079,2243.2942,2045.6604,2263.634,3335.8083,3877.733,3684.2866,4217.651,1451.7577,3026.8972,2035.393,Rubber,3
ID_b2Rnyf_Jan,Jan,2562.5686,2279.1904,2128.701,1896.4698,2102.44,3239.9785,3786.8755,3621.2734,4123.357,1383.9596,2929.2449,1913.9285,Rubber,3
ID_xk4W5q_Jan,Jan,2462.4238,2166.5112,2018.2395,1767.4144,2028.7168,3178.5098,3715.766,3543.6482,4056.3262,1380.2413,2781.1274,1772.7836,Rubber,3
ID_FAw3Wt_Jan,Jan,2785.0864,2574.1887,2476.9392,2343.562,2545.8594,3567.2944,4094.7798,3877.3665,4420.751,1489.391,3386.2744,2390.9185,Rubber,3
ID_wDpKRi_Jan,Jan,4246.508,4287.835,4307.903,4557.742,4623.7676,5375.0063,5890.4585,5567.2163,6270.285,1862.5391,5391.282,4276.1978,Palm,2
ID_0Ov93I_Jan,Jan,2833.98,2553.6296,2421.4329,2266.9785,2473.4636,3470.8262,4000.1687,3760.3625,4346.9634,1460.9819,3258.1316,2242.4075,Rubber,3
ID_yo17qr_Jan,Jan,3919.2097,3796.718,3741.4363,3862.2002,3910.8774,4543.5874,4970.721,4624.168,5254.1714,1692.1161,4325.146,3448.4683,Palm,2
ID_kYPP3a_Jan,Jan,2452.2136,2184.6208,2057.7197,1830.8755,2093.1455,3045.9587,3483.7183,3373.6726,3820.9316,1442.6932,2966.408,1959.9149,Cocoa,1
ID_Pg197t_Jan,Jan,2630.4187,2353.289,2172.4595,1943.6855,2104.275,2915.5583,3315.812,3152.4307,3581.9907,1316.9619,2516.15,1731.524,Rubber,3
ID_axvANo_Jan,Jan,2720.9966,2445.7644,2289.4985,2065.1235,2259.082,3338.303,3883.4602,3703.616,4214.2734,1431.396,2965.89,2017.5631,Palm,2
ID_yXtm8F_Jan,Jan,2547.0984,2244.606,2094.363,1847.7501,2102.5679,3217.58,3740.3406,3556.0857,4069.9036,1390.2633,2846.0623,1864.6278,Rubber,3
ID_CUmFxc_Jan,Jan,2867.3203,2617.0623,2500.3105,2371.7935,2570.5005,3592.344,4118.7754,3896.3884,4458.224,1472.3391,3360.1152,2373.6482,Rubber,3
ID_ZBcTEb_Jan,Jan,3273.7744,3045.5637,2938.1265,2904.093,3001.0635,3707.9653,4120.0854,3840.6843,4383.6714,1491.8646,3522.0088,2790.3345,Rubber,3
ID_or6uBT_Jan,Jan,2763.3232,2502.08,2376.9692,2226.2175,2433.9895,3304.9097,3746.562,3526.4126,4050.8801,1419.8628,3158.57,2233.3323,Rubber,3
ID_on02IG_Jan,Jan,2511.7424,2221.784,2076.6904,1832.7047,2094.2788,3078.619,3548.887,3381.7961,3883.2644,1370.8705,2804.0413,1809.7097,Rubber,3
ID_LI5ZFx_Jan,Jan,2846.0796,2558.354,2410.8955,2238.7395,2390.3782,3330.897,3823.198,3591.363,4124.896,1419.0015,2934.8704,2147.8035,Palm,2
ID_gPwNaT_Jan,Jan,3056.7043,2858.2388,2765.9653,2681.7805,2878.371,3862.0493,4380.7085,4164.7783,4737.5435,1511.639,3841.1833,2796.335,Palm,2
ID_uZDX2F_Jan,Jan,2687.8032,2427.1868,2294.626,2072.604,2347.457,3448.836,3996.4697,3813.2976,4395.5166,1449.0327,3167.679,2072.9092,Rubber,3
ID_ot2aCl_Jan,Jan,3131.3677,2908.4375,2781.699,2703.5989,2805.6523,3559.9175,3989.218,3747.7922,4257.392,1455.8801,3376.9265,2600.2256,Palm,2
ID_hdBd45_Jan,Jan,2485.6206,2197.5771,2048.6863,1826.905,2073.3057,3201.392,3729.2517,3557.3386,4065.4429,1386.3472,2911.3914,1875.531,Rubber,3
ID_kqlCK4_Jan,Jan,2502.6013,2206.2869,2036.0916,1808.6797,2023.2484,2838.0461,3222.4841,3058.1992,3488.8997,1326.4076,2539.6436,1694.6663,Rubber,3
ID_E3DVW6_Jan,Jan,2561.9136,2253.2139,2053.3057,1840.6575,1964.9238,2612.4978,2937.0574,2754.9915,3112.5178,1290.1522,2215.323,1590.7451,Rubber,3
ID_YYbh2U_Jan,Jan,2548.299,2246.3613,2097.2007,1851.5911,2105.8486,3222.2568,3746.3545,3563.2961,4077.6895,1390.1207,2857.287,1872.3783,Rubber,3
ID_bmMyw2_Jan,Jan,2577.9778,2279.2688,2133.7573,1878.1846,2135.9001,3267.3313,3799.2065,3618.95,4144.618,1401.5775,2890.5303,1875.5748,Rubber,3
ID_6RnYnT_Jan,Jan,2892.045,2679.3965,2544.2969,2404.7092,2610.9873,3518.6895,3991.4126,3805.2815,4319.5796,1483.6482,3307.78,2341.2554,Rubber,3
ID_RE6wam_Jan,Jan,2602.2363,2305.5544,2173.2607,1918.0165,2197.008,3453.869,4064.1987,3877.4329,4470.8594,1428.6217,3090.96,1979.2853,Palm,2
ID_oBzOjY_Jan,Jan,2540.1646,2246.2107,2089.9558,1838.6083,2089.373,3196.4905,3747.6855,3567.2703,4114.184,1396.4048,2867.5198,1820.9539,Rubber,3
ID_xk7bJf_Jan,Jan,2503.998,2227.7637,2101.6958,1831.8796,2132.4136,3279.729,3839.2122,3681.5417,4254.061,1393.9785,2975.9019,1871.7466,Rubber,3
ID_ZnmN0Y_Jan,Jan,2768.4453,2499.7778,2349.677,2192.1926,2326.9927,3145.7932,3561.218,3369.4255,3811.9353,1377.4337,2886.99,2074.9282,Rubber,3
ID_ZHN1XK_Jan,Jan,2563.6794,2281.5403,2134.0803,1909.4445,2150.333,3214.7751,3728.193,3557.9766,4069.1523,1394.2957,2923.1753,1895.3398,Rubber,3
ID_QXd6gm_Jan,Jan,3777.6748,3769.7861,3746.2354,3850.7197,4007.6506,4881.0483,5408.903,5164.198,5821.106,1793.639,5033.9775,3809.436,Rubber,3
ID_12GpsM_Jan,Jan,2573.0635,2267.268,2094.9824,1835.0892,2036.0846,3126.402,3657.834,3479.1733,3964.2302,1393.9204,2640.4897,1731.3237,Palm,2
ID_EjtElC_Jan,Jan,2747.155,2435.6895,2234.0583,2037.5314,2111.867,2694.8367,2998.4153,2798.411,3144.9758,1287.1431,2238.4368,1719.7335,Palm,2
ID_Kv76GO_Jan,Jan,3114.7512,2862.2256,2733.818,2637.4836,2761.588,3585.3438,4039.5151,3792.609,4326.1074,1463.9596,3380.412,2619.1792,Palm,2
ID_Hbyt3Z_Jan,Jan,2535.9343,2253.376,2114.7097,1890.6417,2164.061,3141.0554,3610.2107,3443.5452,3965.0715,1387.6263,3010.1558,1942.1215,Rubber,3
ID_dbiX2A_Jan,Jan,2653.3687,2367.314,2228.3318,2027.0355,2237.8804,3203.4822,3663.9004,3475.9048,3954.3052,1397.6619,2865.5479,1957.303,Rubber,3
ID_b1jzlJ_Jan,Jan,2669.4915,2378.459,2223.3865,1968.1715,2203.0266,3374.984,3944.3252,3753.411,4304.9575,1428.6643,2953.6172,1934.213,Palm,2
ID_n1NnK7_Jan,Jan,2693.8582,2424.0115,2273.2568,2060.7136,2254.945,3331.6045,3868.319,3676.3176,4188.6753,1399.466,2966.408,2029.5033,Palm,2
ID_KMPCii_Jan,Jan,3435.27,3312.2676,3249.4487,3261.2012,3426.3708,4298.9004,4803.519,4557.3223,5182.6934,1642.9515,4348.887,3199.1511,Rubber,3
ID_1uLIfw_Jan,Jan,2497.7185,2203.4087,2036.87,1798.9,2018.4883,2900.253,3321.0154,3161.0596,3607.798,1340.6105,2623.582,1726.5775,Rubber,3
ID_bWFMre_Jan,Jan,4182.242,4087.5095,4080.1416,4293.6973,4345.529,4992.8135,5448.2666,5050.24,5769.672,1799.173,4784.386,3818.1926,Palm,2
ID_N3CKL9_Jan,Jan,3952.0261,3864.5125,3821.2502,3952.3176,4015.083,4714.6357,5179.404,4843.2124,5494.569,1725.0857,4551.254,3599.034,Palm,2
ID_9uaWNr_Jan,Jan,2552.84,2271.2964,2134.3225,1897.3599,2184.745,3228.305,3727.5283,3559.5686,4097.6514,1402.4679,3008.1323,1912.4244,Rubber,3
ID_evbynQ_Jan,Jan,2866.0776,2643.3506,2534.044,2379.511,2624.79,3668.5376,4205.743,4000.2375,4592.3223,1491.0247,3565.4065,2407.727,Rubber,3
ID_EcYpY5_Jan,Jan,3125.4949,2894.0776,2777.7302,2703.1506,2832.0903,3658.2595,4125.97,3875.995,4425.851,1490.1669,3457.1404,2625.7156,Rubber,3
ID_6MV1s1_Jan,Jan,3321.1895,3122.064,3026.1724,2987.9673,3114.2393,3978.7864,4478.8906,4218.4214,4811.3013,1560.0433,3826.9595,2877.6575,Palm,2
ID_v3hW5h_Jan,Jan,2454.834,2175.3533,2030.2699,1792.704,1973.6471,2929.9539,3395.6326,3225.578,3660.1484,1321.8628,2381.8542,1613.5852,Rubber,3
ID_fqLWlp_Jan,Jan,2559.099,2258.0564,2104.0896,1863.3145,2100.4714,3123.8708,3605.0308,3437.7036,3920.1157,1386.2007,2768.6033,1829.7916,Rubber,3
ID_0RuY6K_Jan,Jan,2527.3076,2234.8132,2081.338,1833.592,2091.6326,3157.745,3680.8982,3507.7761,4043.0286,1388.205,2876.1584,1829.9431,Rubber,3
ID_RLu93G_Jan,Jan,2668.2192,2372.471,2216.014,1955.6775,2192.128,3369.8115,3940.188,3748.1938,4302.0913,1429.4683,2928.0664,1910.9058,Palm,2
ID_yyK5Yq_Jan,Jan,2492.7761,2196.0115,2022.3398,1785.9912,1984.3971,2837.4302,3246.8577,3081.572,3506.2952,1323.6743,2519.8662,1672.9288,Rubber,3
ID_bzRfPx_Jan,Jan,2489.513,2188.1116,1997.3564,1768.8351,1932.4591,2720.3064,3091.0085,2932.7163,3310.913,1299.2615,2315.183,1588.664,Rubber,3
ID_zbMscp_Jan,Jan,2544.249,2253.9436,2097.3132,1867.8274,2112.882,3124.8708,3624.7961,3444.5498,3955.0107,1388.6866,2831.6375,1844.2919,Rubber,3
ID_hzy3kx_Jan,Jan,2464.0781,2170.5874,2015.128,1778.584,2020.4387,3080.042,3584.456,3422.8704,3907.2737,1366.5494,2746.965,1777.1311,Rubber,3
ID_VloIhT_Jan,Jan,4912.306,4948.1045,4960.6553,5332.9004,5226.756,5724.3823,6202.601,5775.511,6550.339,1764.04,6122.6626,5003.1187,Palm,2
ID_Th1lbV_Jan,Jan,2541.2292,2245.4395,2080.1125,1849.9039,2067.6282,2963.3198,3401.669,3249.8757,3727.3584,1327.6866,2725.8816,1796.0916,Rubber,3
ID_wTtcob_Jan,Jan,2674.6113,2366.6555,2184.1958,1932.1096,2104.1492,3022.4944,3466.133,3279.9358,3729.372,1351.436,2534.5022,1724.9062,Palm,2
ID_jmLfEk_Jan,Jan,2645.6208,2340.3098,2168.6594,1920.8254,2103.18,3152.8938,3692.249,3498.8442,4006.6636,1369.0581,2711.887,1782.2415,Palm,2
ID_B8x0G6_Jan,Jan,3452.099,3357.2227,3299.5652,3322.2415,3466.9045,4419.8345,4970.084,4725.658,5343.538,1659.714,4402.08,3398.877,Palm,2
ID_4h8uzz_Jan,Jan,2921.4775,2643.0977,2497.0085,2355.3196,2488.479,3317.5774,3763.8735,3533.2288,4033.5144,1413.9723,2982.6648,2214.6912,Rubber,3
ID_9YEQgu_Jan,Jan,2517.3115,2229.1204,2073.7012,1850.6182,2083.258,3163.3774,3682.289,3512.0146,4010.1008,1381.0549,2846.065,1850.3076,Rubber,3
ID_HQr75Y_Jan,Jan,2570.8884,2310.2688,2168.889,1968.4355,2205.0403,3265.6694,3765.5564,3601.3564,4096.102,1406.2837,2991.897,1988.9031,Rubber,3
ID_wUJPUM_Jan,Jan,2555.0066,2267.1096,2115.629,1875.8582,2143.9058,3207.9224,3734.7866,3559.6328,4104.8003,1398.2903,2938.7478,1859.812,Rubber,3
ID_PiZsQF_Jan,Jan,2518.5928,2223.525,2082.9019,1819.524,2092.4536,3303.608,3888.4568,3712.7866,4274.757,1402.2964,2956.5425,1865.6478,Rubber,3
